"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"AS1","ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1277","7,3071","12,8817","13,8784","23,9230","-","-"
"CPT","ROTA PORTFÖY ÇİP TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","10,0297","38,8989","16,7656","25,0320","23,9140","-","-"
"IPB","İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","7,8002","11,2892","9,6444","11,8498","23,7395","796,6072","2.245,0171"
"IAE","İSTANBUL PORTFÖY AGRESİF DEĞİŞKEN FON","Değişken Şemsiye Fonu","13,0721","12,7920","21,2971","25,9000","23,6008","-","-"
"GKF","GLOBAL MD PORTFÖY KATILIM FONU","Katılım Şemsiye Fonu","19,2345","18,4711","11,5192","11,4273","23,5661","260,9877","265,3688"
"FCK","FONERİA PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","6,0113","10,5895","14,4675","15,3390","23,5606","-","-"
"BDY","AK PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","17,4115","15,6331","16,3046","17,1826","23,5311","-","-"
"SPR","BV PORTFÖY SPOR ENDÜSTRİSİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","8,3128","19,2256","18,6032","20,4586","23,3038","-","-"
"YPC","YAPI KREDİ PORTFÖY İKLİM DEĞİŞİKLİĞİ ÇÖZÜMLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","13,4800","32,1243","12,1917","14,2031","23,2368","-","-"
"KIB","TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","14,5864","20,4739","14,5338","20,3158","23,0071","-","-"
"YHZ","YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,1366","15,5911","26,5168","27,2726","22,9031","433,2056","-"
"HVU","ALLBATROSS PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","7,2285","11,7527","17,5212","20,2984","22,5331","-","-"
"DEF","ALLBATROSS PORTFÖY DEFNE SERBEST FON","Serbest Şemsiye Fonu","10,1602","13,1290","15,1407","18,7569","22,5200","-","-"
"RPC","ROTA PORTFÖY İKLİM DEĞİŞİKLİĞİ ÇÖZÜMLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","9,1588","22,6318","22,3196","26,0080","22,4758","-","-"
"HPD","HSBC PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","11,3142","9,6890","11,8205","14,1164","22,4634","260,8317","567,8127"
"YDP","YAPI KREDİ PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","11,7313","18,3042","15,9021","20,5542","22,3967","-","-"
"ACD","İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","9,2495","12,3840","13,4568","14,3900","22,3858","470,4431","1.295,1656"
"AK2","AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","5,4448","12,4335","5,9043","11,4968","22,3137","56,4614","80,2767"
"TMZ","İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK VE TARIM FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","5,9032","10,4324","12,1388","16,8560","22,1255","-","-"
"GJB","INVEO PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","8,8746","11,0312","11,5140","13,7894","22,0503","335,0015","-"
"MAD","MEKSA PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","6,6111","12,1427","25,0803","28,3063","21,9470","469,9720","712,3472"
"IRO","İSTANBUL PORTFÖY ROBOTİK TEKNOLOJİLERİ SERBEST FON","Serbest Şemsiye Fonu","6,8240","30,2730","15,9819","17,4886","21,7086","-","-"
"YAK","YAPI KREDİ PORTFÖY KARMA FON","Karma Şemsiye Fonu","6,9448","13,7321","9,7178","13,8382","21,6541","233,6984","603,4360"
"MTS","AKTİF PORTFÖY TARIM VE SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","4,4475","17,6720","17,9450","22,2809","21,6001","-","-"
"YAC","YAPI KREDİ PORTFÖY İKİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","7,5089","17,2144","15,7325","16,5665","21,4759","224,1405","549,6974"
"ZJL","ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","12,4377","21,0171","19,0109","17,4017","21,1306","529,7307","-"
"TGA","GARANTİ PORTFÖY AGRESİF DEĞİŞKEN FON","Değişken Şemsiye Fonu","11,7866","12,3658","11,5686","15,4751","20,9559","421,0258","1.028,0552"
"YNK","YAPI KREDİ PORTFÖY NİŞANTAŞI KAR PAYI ÖDEYEN SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,2926","7,0914","13,0672","11,6827","20,8323","-","-"
"TMC","İŞ PORTFÖY TEMA DEĞİŞKEN FON","Değişken Şemsiye Fonu","6,2914","11,4277","10,1251","11,4835","20,7590","216,9388","367,7538"
"ODD","OYAK PORTFÖY DÖRDÜNCÜ SERBEST FON","Serbest Şemsiye Fonu","8,9208","15,2513","18,4985","19,7812","20,7521","162,6918","667,0648"
"KIA","TRIVE PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","11,3942","11,1385","5,2262","8,4926","20,5892","-","-"
"ARE","İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","7,2215","23,9087","9,7825","12,0581","20,4393","148,8021","327,4706"
"AAK","ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON","Değişken Şemsiye Fonu","7,7940","12,9556","12,9991","16,8202","20,4067","304,1306","633,0731"
"USY","ÜNLÜ PORTFÖY DEĞER YATIRIMLARI SERBEST FON","Serbest Şemsiye Fonu","6,6108","15,6840","18,5306","18,6913","20,3597","254,2911","683,1716"
"DYN","DENİZ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","12,2307","28,7376","14,6348","16,6497","20,0192","-","-"
"OKD","OYAK PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","11,6620","15,9575","16,3140","19,7871","19,7687","406,3846","964,6026"
"GZH","GARANTİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","12,5676","31,3649","25,8069","25,2374","19,6471","112,8237","-"
"FBC","FONERİA PORTFÖY KAR PAYI ÖDEYEN KATILIM FONU","Katılım Şemsiye Fonu","8,1250","9,3128","9,2534","9,8941","19,6225","-","-"
"TCC","TACİRLER PORTFÖY SERBEST ( DÖVİZ ) FON","Serbest Şemsiye Fonu","0,6373","9,1023","9,7393","12,0487","19,1597","197,4264","545,9685"
"IRT","INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","4,5580","15,6537","5,0457","7,9884","19,0602","341,5141","-"
"KSR","KUVEYT TÜRK PORTFÖY SÜRDÜRÜLEBİLİRLİK KATILIM FONU","Katılım Şemsiye Fonu","9,9226","22,0318","13,1953","13,4228","19,0262","224,9026","-"
"HMC","HEDEF PORTFÖY EKİNOKS SERBEST (TL) FON","Serbest Şemsiye Fonu","9,3948","13,4649","14,6686","17,0209","19,0098","388,4743","-"
"ZDZ","ZİRAAT PORTFÖY AGRESİF DEĞİŞKEN FON","Değişken Şemsiye Fonu","23,9893","26,9541","16,1939","15,9190","18,9481","523,8627","1.126,2640"
"VCY","AK PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","12,0286","25,2970","12,6310","16,4207","18,3739","109,7718","-"
"KRS","KARE PORTFÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","4,6923","15,8284","11,2828","14,5127","18,3553","196,1146","578,8108"
"DFI","ATLAS PORTFÖY SERBEST FON","Serbest Şemsiye Fonu","3,0302","9,1497","19,6998","19,5804","18,3334","-","-"
"DHM","DENİZ PORTFÖY ESG-SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","11,9168","20,3070","10,1901","12,5693","18,3311","253,1850","-"
"OPB","OSMANLI PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","6,9764","9,7665","13,6143","13,9569","18,3099","246,7926","656,5629"
"GZN","GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON","Serbest Şemsiye Fonu","11,4116","21,0160","5,5065","9,4276","18,3000","748,1825","-"
"YTV","YAPI KREDİ PORTFÖY TARIM DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,7568","15,9925","19,6662","23,6157","18,0485","-","-"
"IJC","İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","14,6787","50,8239","7,6345","14,0112","17,9576","330,3438","-"
"NNF","HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","22,1905","27,6789","23,9904","26,0628","16,9981","572,9436","-"
"YSL","YAPI KREDİ PORTFÖY KAR PAYI ÖDEYEN KİRA SERTİFİKALARI KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","-2,5591","1,8397","10,1829","6,4155","16,9625","-","-"
"GOH","GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,0550","21,0747","15,1391","14,9438","16,7560","522,8763","-"
"TGX","TEB PORTFÖY TARIM VE GIDA TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,2304","15,1003","15,1698","20,3233","16,5958","-","-"
"TBT","TEB PORTFÖY BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","5,3112","11,6312","1,4840","7,3810","16,4032","71,3535","101,4372"
"IZB","İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ SERBEST FON","Serbest Şemsiye Fonu","-4,8233","-3,6021","7,3030","6,9333","16,1611","410,8932","-"
"ESG","AKTİF PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON","Serbest Şemsiye Fonu","8,5406","12,2818","10,8606","11,5767","16,0962","134,0708","-"
"TTE","İŞ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,0752","12,7749","25,7215","26,0693","16,0457","393,0179","916,3068"
"YHB","YAPI KREDİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","20,4494","20,1358","13,8824","10,7807","15,6996","-","-"
"HKH","HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,7938","23,2197","24,6857","24,8168","15,3375","672,1745","-"
"GVA","GARANTİ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇLAR DEĞİŞKEN FON","Değişken Şemsiye Fonu","10,7254","25,8540","13,3501","15,9399","15,3260","187,1680","-"
"IKL","İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON","Karma Şemsiye Fonu","2,5068","6,7317","9,1959","12,8468","15,2161","192,1842","-"
"IDD","LOGOS PORTFÖY DİNAMİK DAĞIMLI SERBEST FON","Serbest Şemsiye Fonu","12,4452","13,9190","11,7100","13,6577","15,2024","167,0266","310,5809"
"ECA","GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","7,2759","12,0882","8,7655","10,0619","15,2020","414,6305","859,4666"
"CIN","AKTİF PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","9,5535","14,6843","19,7765","17,9794","15,1247","-","-"
"AOY","AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","12,4157","34,9175","35,7468","35,3588","15,0424","43,9023","150,9533"
"ICZ","AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,0557","15,6847","16,7164","19,2197","14,8956","408,0104","-"
"YCK","YAPI KREDİ PORTFÖY CİHANGİR SERBEST FON","Serbest Şemsiye Fonu","8,8635","19,8662","5,3035","7,8403","14,8805","217,1177","-"
"TBE","TEB PORTFÖY SAĞLIK VE BİYOTEKNOLOJİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","6,3291","15,3845","9,6599","9,8429","14,8345","-","-"
"OLD","QNB PORTFÖY TEMİZ ENERJİ VE SU FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","11,3819","28,0435","14,2096","17,4430","14,7576","122,5912","-"
"GO9","FONERİA PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","18,6006","17,9816","12,7869","14,6771","14,5640","-","-"
"GMA","AZİMUT PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON","Değişken Şemsiye Fonu","8,4500","12,6648","8,9961","7,0778","14,4368","336,4315","779,2635"
"KTI","AZİMUT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,7385","16,2783","15,7791","10,4818","13,9323","-","-"
"RBH","ALBARAKA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,0328","17,9685","16,4200","16,6502","13,8948","396,5038","1.241,0086"
"KHA","PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,8064","17,0733","15,0860","15,0652","13,8824","-","-"
"HSA","HSBC PORTFÖY DEĞİŞKEN (TL) FON","Değişken Şemsiye Fonu","11,3564","8,6092","10,3190","13,4807","13,6678","354,0890","1.044,1827"
"YAN","YAPI KREDİ PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","5,9489","12,6190","11,1735","11,7700","13,5993","179,1253","450,1734"
"KHC","PARDUS PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,2486","13,0120","13,1168","12,2263","13,3763","-","-"
"YJH","YAPI KREDİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FONU","Değişken Şemsiye Fonu","11,5761","30,3403","18,1070","19,7484","13,3130","94,5098","-"
"TJF","TEB PORTFÖY SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","12,7925","19,0225","14,3519","17,0479","13,1530","155,7499","-"
"RPM","ROTA PORTFÖY İLAÇ VE MEDİKAL TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","6,1035","12,0923","7,6279","6,4061","13,1080","121,6343","-"
"ZBD","ZİRAAT PORTFÖY DENGELİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","13,0763","18,9837","12,4392","12,0680","12,5575","264,1938","533,3336"
"YPV","YAPI KREDİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","9,5197","18,0440","9,6284","11,9496","12,3735","179,7042","478,6370"
"DKH","DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,7136","12,5557","15,5947","13,0139","12,2318","-","-"
"BHI","BV PORTFÖY ALGORİTMİK STRATEJİLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,5861","13,6470","17,1847","19,7602","12,2187","-","-"
"ICH","PARDUS PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","10,3312","17,9136","13,2183","10,7521","11,9304","-","-"
"FNT","HEDEF PORTFÖY MODEL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","22,3642","27,4345","23,7494","23,1521","11,5137","-","-"
"KNJ","KUVEYT TÜRK PORTFÖY ENERJİ KATILIM FONU","Katılım Şemsiye Fonu","5,3545","17,3308","10,4647","20,3296","11,3614","-","-"
"ZSG","ZİRAAT PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","9,8415","20,8201","17,5336","19,2977","11,2084","-","-"
"ELZ","QİNVEST PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","13,0351","18,9292","16,9152","13,6969","11,1423","422,7986","-"
"IBB","İŞ PORTFÖY ATAK DEĞİŞKEN FON","Değişken Şemsiye Fonu","13,7481","19,6284","6,1057","9,2501","11,1239","260,3011","635,5614"
"TI7","İŞ PORTFÖY DENGELİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","9,8223","16,3568","9,5893","12,7135","11,0062","229,1260","495,8901"
"KTS","KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","17,3104","13,7507","8,8870","9,5472","10,7416","310,5644","510,7526"
"ALC","AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,6190","16,4836","13,2693","17,0312","10,6199","398,3680","1.126,0165"
"GZL","GARANTİ PORTFÖY TARIM VE GIDA SEKTÖRÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,2949","12,9765","13,8913","17,4744","10,2800","123,0019","-"
"DFC","DENİZ PORTFÖY TARIM VE GIDA DEĞİŞKEN FON","Değişken Şemsiye Fonu","5,6784","11,9490","9,6945","10,7567","9,2970","145,7584","-"
"ZVO","ZİRAAT PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON","Serbest Şemsiye Fonu","1,8856","34,4633","43,3223","19,6240","9,1065","378,5694","-"
"IVF","İSTANBUL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","11,8708","14,1320","15,7096","17,5701","9,0115","403,5695","-"
"YLC","ATA PORTFÖY TARIM VE GIDA DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,1757","10,4519","12,6371","14,6298","8,9571","137,7439","-"
"AOJ","ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","15,1647","13,8637","7,4918","6,8963","8,7809","-","-"
"GZG","GARANTİ PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","4,6509","5,2384","6,9265","9,2397","8,6518","153,0780","-"
"TTL","TACİRLER PORTFÖY KARTOPU SERBEST FON","Serbest Şemsiye Fonu","14,7593","12,4002","9,0496","11,7383","8,4515","713,3979","2.486,8858"
"TKF","TACİRLER PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,8164","18,0207","9,3841","9,5830","8,2728","317,2710","1.082,7669"
"KPC","KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","18,5713","17,8426","11,6824","12,4921","8,1599","493,2485","-"
"RHS","ROTA PORTFÖY HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,7145","17,3706","13,0228","14,9486","7,9863","-","-"
"DTL","DENİZ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,0048","11,5954","5,2068","3,2936","7,9420","-","-"
"YHK","YAPI KREDİ PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,7658","20,6775","15,7843","16,2935","7,7255","-","-"
"AES","AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-4,7926","14,2003","3,4990","10,3304","7,6006","93,8924","1.052,3356"
"TAR","AK PORTFÖY TARIM VE GIDA TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","4,8717","11,4422","14,4837","18,3832","7,5304","-","-"
"ZPE","ZİRAAT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,1938","19,7608","12,8472","11,8135","7,3840","367,3328","1.010,9503"
"OHB","OYAK PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,7773","17,2853","10,6787","13,8316","7,3121","474,9236","1.266,8234"
"GBJ","GARANTİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","22,8509","36,6992","7,4025","13,9300","7,1239","-","-"
"AED","ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","10,5715","11,8127","10,6064","14,0164","6,6194","349,6622","847,0306"
"PHE","PUSULA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","9,4924","17,5382","18,0594","21,3747","6,4662","-","-"
"ACC","İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)","Hisse Senedi Şemsiye Fonu","18,6717","19,3209","14,6752","18,9222","6,2878","561,4651","1.347,9488"
"SAS","AK PORTFÖY SABANCI TOPLULUĞU ŞİRKETLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,6405","14,6383","1,6502","4,6221","6,0480","-","-"
"GLG","AKTİF PORTFÖY CAPİTAL HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","11,8987","6,0606","26,7298","28,2629","6,0421","482,5287","-"
"AK3","AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,8515","17,7945","12,4697","16,0627","6,0263","618,8103","1.418,3356"
"KID","TRIVE PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","-3,5494","-10,2610","-3,2708","-2,8419","5,8491","-","-"
"FID","FİBA PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","13,2254","14,0956","9,0200","11,4338","5,8268","271,7928","752,6006"
"TZD","ZİRAAT PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","19,4715","24,5375","12,8283","11,7456","5,5463","416,8119","1.001,5517"
"ZJV","ZİRAAT PORTFÖY BIST 30 DIŞI YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,7045","9,7313","7,6888","4,6620","5,5401","422,0210","-"
"HVZ","ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,3516","7,3980","8,0475","8,2813","5,4491","-","-"
"MAC","MARMARA CAPITAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,6351","8,0632","15,1538","12,9560","5,2902","495,7498","1.423,5067"
"GKV","GARANTİ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,2735","15,4373","10,5203","11,8125","5,1579","-","-"
"KST","ALLBATROSS PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","23,5392","16,7761","13,3170","11,9047","5,0948","-","-"
"RDF","ROTA PORTFÖY DOKUZUNCU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","12,8030","12,8436","10,8895","13,8033","4,3205","-","-"
"AHI","ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN)","Hisse Senedi Şemsiye Fonu","14,6774","11,9866","10,7897","14,0381","4,3038","470,8264","1.570,6583"
"KPU","KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,7371","11,8361","6,0863","5,7538","4,1647","-","-"
"BUY","AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,3852","9,7201","11,7020","12,7440","3,9220","-","-"
"TAU","İŞ PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","24,4047","38,5852","6,7833","14,1872","3,8787","733,8319","1.276,9516"
"RTH","RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","15,1020","17,3948","10,3693","14,3673","3,7101","-","-"
"IHA","ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","15,8997","16,4168","5,5100","5,4413","3,6406","-","-"
"GZM","GLOBAL MD PORTFÖY DİNAMİK SERBEST (TL) FON","Serbest Şemsiye Fonu","21,8290","21,1645","9,9107","9,3163","3,6006","279,3059","-"
"MPS","AKTİF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","17,1685","18,3144","11,9493","11,8558","3,5689","375,8628","840,4519"
