"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"FUB","QNB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","4,3823","10,3373","19,4054","20,7230","32,3428","211,4989","662,4103"
"EYT","AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","6,5004","12,3373","20,2786","22,7717","32,1693","-","-"
"FPE","FİBA PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU","Borçlanma Araçları Şemsiye Fonu","3,4944","9,6219","18,7434","19,3926","32,0895","230,7689","713,0696"
"KAV","KUVEYT TÜRK PORTFÖY ALTINCI KATILIM SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","3,1492","7,0284","28,1085","28,5124","32,0663","-","-"
"HJB","HEDEF PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","17,7096","19,1874","27,6312","31,8974","32,0251","-","-"
"ZP9","ZİRAAT PORTFÖY AKİK KATILIM SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","2,9559","7,0264","27,1906","27,5632","31,9966","-","-"
"GPA","GARANTİ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU","Borçlanma Araçları Şemsiye Fonu","4,0345","10,3882","19,0724","19,7366","31,9088","206,7718","647,1389"
"DSP","DENİZ PORTFÖY DENGELİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","3,4781","10,1706","19,6421","21,8145","31,7669","280,2556","523,9495"
"KHT","ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","14,6172","24,2421","40,1064","43,7816","31,7620","-","-"
"TPJ","TEB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","3,2424","8,7819","17,3817","18,5026","31,7578","199,1878","672,8000"
"SUC","ÜNLÜ PORTFÖY ÜÇÜNCÜ DEĞIŞKEN FON","Değişken Şemsiye Fonu","7,5261","30,5914","20,4936","23,8160","31,7417","284,8848","570,9366"
"RBF","ROTA PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","5,0285","12,6563","11,9038","16,6810","31,6310","-","-"
"YUN","YAPI KREDİ PORTFÖY İSTİNYE SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,7821","8,8371","17,5790","18,1786","31,5271","-","-"
"MGH","TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","0,8342","4,1335","8,8844","9,5822","31,5036","-","-"
"GID","GARANTİ PORTFÖY İNŞAAT SEKTÖRÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","13,5115","17,4909","19,3022","21,0634","31,2824","-","-"
"AGC","AK PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,5857","7,6837","16,7394","18,4485","31,1950","155,1660","498,7955"
"SVB","STRATEJİ PORTFÖY AGRESİF DEĞİŞKEN FON","Değişken Şemsiye Fonu","15,6825","20,8810","20,6656","19,9661","31,1786","514,6828","-"
"GPC","GARANTİ PORTFÖY İKİNCİ SERBEST ( DÖVİZ ) FON","Serbest Şemsiye Fonu","3,6491","9,8057","19,0773","19,7493","31,1259","217,6691","660,5553"
"YOT","YAPI KREDİ PORTFÖY BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","4,9327","11,9071","10,1770","15,5761","31,1235","150,2040","271,0867"
"YJK","YAPI KREDİ PORTFÖY ROBOTİK VE YARI İLETKEN TEKNOLOJİLERİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","10,9630","38,2736","16,0828","22,7073","31,1131","164,3734","-"
"KTT","KUVEYT TÜRK PORTFÖY DÖRDÜNCÜ KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,7026","8,2098","17,9029","18,8305","31,0099","182,0033","615,7278"
"GRL","QNB PORTFÖY AGRESİF SERBEST FON","Serbest Şemsiye Fonu","3,1578","13,2112","23,0691","27,7613","30,8521","-","-"
"KRT","KARE PORTFÖY TÜRKİYE ODAKLI SERBEST (DÖVİZ ) FON","Serbest Şemsiye Fonu","2,6185","8,7427","17,8377","18,6989","30,7687","198,1370","667,2074"
